Substancia;Ano;ValorAnaliseFisica;ValorAnaliseQuimica;ValorEnsaioBeneficiamento;ValorGaleriaShaft;ValorGeologia;ValorInfraestrutura;ValorOutro;ValorProspeccaoGeofisica;ValorProspeccaoGeoquimica;ValorSondagem;ValorTopografiaCartografiaDesenho;ValorTrincheiraPoco
-;2001;,00;,00;,00;,00;3500,00;45600,00;12000,00;,00;6550,00;,00;3500,00;,00
AREIA;2001;1000,00;1000,00;,00;,00;4200,00;5800,00;5800,00;,00;24334,40;25000,00;4500,00;,00
ARGILA;2001;,00;,00;,00;,00;8600,00;2400,00;3600,00;2000,00;1800,00;,00;5000,00;,00
ARGILA REFRATÁRIA;2001;,00;6009,60;,00;,00;6923,30;3461,50;13846,30;7629,60;8653,50;19074,18;1730,00;3461,50
BASALTO;2001;,00;,00;,00;,00;3200,00;3600,00;4000,00;,00;2200,00;,00;,00;,00
-;2001;,00;,00;,00;,00;1000,00;,00;,00;,00;3000,00;,00;,00;600,00
-;2001;,00;,00;,00;,00;1200,00;,00;10000,00;,00;35133,10;,00;482625,00;4200,00
-;2001;,00;,00;,00;,00;2000,00;,00;,00;,00;2000,00;,00;,00;,00
FERRO;2001;,00;,00;20000,00;,00;28000,00;,00;,00;,00;20000,00;,00;,00;,00
-;2001;,00;,00;,00;,00;1000,00;1000,00;,00;,00;2000,00;,00;,00;,00
GRANITO;2001;,00;16080,00;,00;185,00;26280,00;4510,00;8500,00;4965,00;21345,00;7520,00;16880,00;,00
-;2001;,00;,00;,00;,00;1000,00;,00;,00;,00;,00;,00;,00;,00
MANGANÊS;2001;,00;,00;,00;,00;7000,00;,00;,00;,00;8000,00;,00;,00;,00
-;2001;,00;,00;,00;,00;5000,00;,00;800,00;,00;3000,00;,00;,00;,00
QUARTZITO VERDE;2001;3000,00;1000,00;,00;,00;5000,00;5000,00;,00;,00;9000,00;,00;,00;1000,00
-;2001;,00;,00;,00;,00;2000,00;,00;,00;,00;1000,00;,00;,00;,00
-;2001;,00;,00;,00;,00;1500,00;1317,00;1020,00;,00;3000,00;,00;,00;,00
ÁGUA MINERAL;2002;,00;,00;,00;3700,00;16550,00;107650,00;17840,00;,00;20671,60;,00;29000,00;5250,00
AREIA;2002;,00;3300,00;,00;,00;8700,00;5800,00;39800,00;2000,00;47029,60;,00;2000,00;,00
-;2002;,00;,00;,00;,00;700,00;800,00;800,00;,00;500,00;,00;,00;,00
ARGILA;2002;,00;,00;,00;,00;1800,00;1200,00;1600,00;,00;1842,90;,00;,00;,00
ARGILA REFRATÁRIA;2002;,00;6009,60;,00;,00;5453,30;2726,50;10906,30;6009,60;6816,50;15024,18;,00;2726,50
BASALTO;2002;,00;,00;,00;,00;2050,00;3900,00;12500,00;,00;1200,00;,00;,00;,00
CALCÁRIO;2002;,00;,00;,00;,00;2800,00;,00;11,66;,00;23226,40;,00;105330,67;800,00
-;2002;,00;,00;,00;,00;,00;,00;2950,00;,00;,00;,00;,00;,00
-;2002;,00;,00;,00;,00;,00;,00;,00;,00;2085,80;,00;,00;,00
-;2002;,00;,00;,00;,00;2000,00;,00;,00;,00;2000,00;,00;,00;,00
FERRO;2002;,00;,00;,00;,00;17000,00;,00;,00;,00;33000,00;,00;,00;,00
-;2002;,00;,00;,00;,00;,00;,00;,00;,00;1092,30;,00;,00;,00
-;2002;,00;1000,00;,00;,00;5000,00;2000,00;,00;,00;5000,00;,00;,00;,00
GRANITO;2002;2000,00;20172,00;,00;400,00;42771,00;22583,00;85250,00;6209,00;32465,00;3545,00;11830,00;1300,00
MANGANÊS;2002;,00;,00;,00;,00;15000,00;,00;,00;,00;15000,00;,00;,00;,00
-;2002;,00;1347,00;,00;,00;691,00;720,00;,00;430,00;445,00;392,00;510,00;,00
-;2002;,00;3000,00;,00;,00;6100,00;,00;6500,00;,00;3400,00;,00;,00;,00
OURO;2002;3000,00;,00;,00;,00;7700,00;10600,00;28800,00;1000,00;12500,00;5000,00;2000,00;1000,00
QUARTZITO VERDE;2002;,00;1500,00;,00;,00;6500,00;2500,00;,00;,00;16000,00;,00;,00;,00
-;2002;,00;,00;,00;,00;2000,00;,00;,00;,00;1000,00;,00;,00;,00
